Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 10 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 11 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 12 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 13 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 14 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC
transparent cu 15 plicuri din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPFEN 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC
transparent cu 16 plicuri din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,Cutie plianta de carton cu 1 plic din PET/PE/Al/PE cu granule - 2 ani,OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 2 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 3 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 4 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 5 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 6 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 7 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 8 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 9 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 10 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 11 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 12 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 13 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 14 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 15 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton cu 16 plicuri
din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC
transparent cu 1 plic din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 2 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,Cutie plianta de carton/PVC,OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,transparent cu 3 plicuri din PET/PE/Al/PE cu granule - 2 ani,,,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 4 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 5 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 6 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 7 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC
transparent cu 8 plicuri din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC
transparent cu 9 plicuri din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC
transparent cu 10 plicuri din PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 11 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 12 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 13 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 14 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie plianta de carton/PVC transparent cu 15 plicuri din
PET/PE/Al/PE cu granule - 2 ani",OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,Cutie plianta de carton/PVC,OTC,R02AX01,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV 8.75 mg,FLURBIPROFEN,GRANULE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,transparent cu 16 plicuri din PET/PE/Al/PE cu granule - 2 ani,,,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV MIERE SI LAMAIE 8.75 mg,FLURBIPROFENUM,PASTILE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,Cutie cu 2 blist. Al/PVC-PVDC x 8 pastile - 3 ani,OTC,R07AXN1,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
STREPSILS INTENSIV MIERE SI LAMAIE 8.75 mg,FLURBIPROFENUM,PASTILE,8.75mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 3 blist. Al/PVC-PVDC x 8
pastile - 3 ani",OTC,R07AXN1,8.75 mg lozenge or spray every 3-6 hours,Consult a healthcare provider,Pain relief.anti-inflammatory
SUPOFEN 40 mg/ml,PARACETAMOLUM,SUSP. ORALA,40mg/ml,"LABORATORIOS BASI-INDUSTRIA FARMACEUTICA. S.A. -
PORTUGALIA","Cutie cu 1 flac. din sticla bruna a 85 ml susp. orala + 1 seringa de 5 ml pt.
administrare orala - 3 ani-dupa",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
SUPOFEN 40 mg/ml,PARACETAMOLUM,SUSP. ORALA,40mg/ml,"LABORATORIOS BASI-INDUSTRIA FARMACEUTICA. S.A. -
PORTUGALIA","ambalarea dupa comercializare; dupa
prima deschidere-6 luni",,,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
SUPOZITOARE CU GLICERINA PT. ADULTI,GLYCEROLUM,SUPOZ.,2100mg,ANTIBIOTICE SA - ROMANIA,"Cutie x 2 folii termoformate Al/PVC x 6
supoz. - 3 ani",OTC,A06AX01,1-2 g as a suppository or applied topically,Consult a healthcare provider,Moisturizer.laxative
SUPOZITOARE CU GLICERINA PT. ADULTI,GLYCEROLUM,SUPOZ.,2100mg,ANTIBIOTICE SA - ROMANIA,"Cutie x 2 folii termoformate Al/PVC x 3
supoz. - 3 ani",OTC,A06AX01,1-2 g as a suppository or applied topically,Consult a healthcare provider,Moisturizer.laxative
SUPOZITOARE CU GLICERINA PT. COPII,GLYCEROLUM,SUPOZ.,1405mg,ANTIBIOTICE SA - ROMANIA,"Cutie x 2 folii termoformate Al/PVC x 6
supoz. - 3 ani",OTC,A06AX01,1-2 g as a suppository or applied topically,Consult a healthcare provider,Moisturizer.laxative
SUPOZITOARE CU GLICERINA PT. COPII,GLYCEROLUM,SUPOZ.,1405mg,ANTIBIOTICE SA - ROMANIA,"Cutie x 2 folii termoformate Al/PVC x 3
supoz. - 3 ani",OTC,A06AX01,1-2 g as a suppository or applied topically,Consult a healthcare provider,Moisturizer.laxative
SYMPHORAL 10 mg,LORATADINUM,COMPR.,10mg,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA","Cutie cu 1 blist. PVC/Al x 10 compr. -
3 ani",OTC,R06AX13,10 mg once daily,5 mg once daily for children 2-12 years,Allergy symptoms: sneezing.runny nose.itchy/watery eyes
TAFICEN 10 mg/g,TERBINAFINUM,CREMA,10mg/g,ANTIBIOTICE S.A. - ROMANIA,"Cutie x 1 tub din Al x 15 g crema - 3
ani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TANTUM GEL 5%,BENZYDAMINUM,GEL,5%,"CSC PHARMACEUTICALS
HANDELS GMBH - AUSTRIA",Cutie x 1 tub din Al x 50 g gel - 3 ani,OTC,M02AA05,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM ROSA,BENZYDAMINUM,GRAN. PT. SOL. VAGINALA,500mg/plic,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 10 plicuri dublu stratificate din
hartie/PP cu granule pulb. pt. sol. vaginala - 5 ani",OTC,G02CC03,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM ROSA,BENZYDAMINUM,GRAN. PT. SOL. VAGINALA,500mg/plic,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 5 plicuri dublu stratificate din
hartie/PP granule pulb. pt. sol. vaginala - 5 ani",OTC,G02CC03,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE,BENZYDAMINUM,SOL. PT. GARGARISME,0.15%,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 1 flacon din sticla x 120 ml sol. pt. gargarisme. inchis cu capac cu
sistem securizat pt copii - 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE,BENZYDAMINUM,SOL. PT. GARGARISME,0.15%,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 1 flacon din sticla x 240 ml sol. pt. gargarisme. inchis cu capac cu
sistem securizat pt copii - 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE 0.15%,BENZYDAMINUM,SPRAY BUCOFARINGIAN,0.15%,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 1 flac. din PEID x 30 ml spray nazal. prevazut cu pompa dozatoare
si aplicator bucal - 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU AROMA DE LAMAIE 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 2 pachete din hartie laminata
cu Al x 10 pastile - 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU AROMA DE LAMAIE 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 3 pachete din hartie laminata
cu Al x 10 pastile - 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU AROMA DE MENTA 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 2 pachete x 10 pastile ambalate individual in hartie parafinata
- 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU AROMA DE MENTA 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 3 pachete x 10 pastile
ambalate individual in hartie parafinata",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU AROMA DE MENTA 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,- 4 ani,,,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU GUST DE EUCALIPT 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie cu 2 pachete din hartie-PE-Al x 10 pastile ambalate individual in hartie
parafinata - 30 luni",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE CU GUST DE PORTOCALA SI MIERE 3 mg,BENZYDAMINUM,PASTILE,3mg,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie cu 2 pachete din hartie-PE-Al x 10 pastile ambalate individual in hartie
parafinata - 30 luni",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TANTUM VERDE FORTE spray 0.3%,BENZYDAMINUM,SPRAY BUCOFARINGIAN,0.30%,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 1 flacon PE x 15 ml spary bucofaringian prevazut cu pompa
dozatoare + aplicator bucal - 4 ani",OTC,A01AD02,3-6 mg/kg body weight as mouthwash or spray,Consult a healthcare provider,Pain relief.anti-inflammatory
TAVEGYL,CLEMASTINUM,COMPR.,1mg,"NOVARTIS CONSUMER HEALTH
GMBH - GERMANIA","Cutie x 2 blist. PVC-PVD/Al x 10
compr. - 5 ani",OTC,R06AA04,1 mg two or three times daily,0.5 mg once or twice daily,Allergy symptoms.antihistamine
TERBINAFINA ACTAVIS 10mg/g,TERBINAFINUM,CREMA,10mg/g,ACTAVIS S.R.L. - ROMANIA,"Cutie x 1 tub din Al x 15 g crema - 3
ani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TERBINAFINA ACTAVIS 10mg/g,TERBINAFINUM,CREMA,10mg/g,ACTAVIS S.R.L. - ROMANIA,"Cutie x 1 tub din Al x 30 g crema - 3
ani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TERBINAFINA OZONE 10 mg/g,TERBINAFINUM,CREMA,10mg/g,SLAVIA PHARM S.R.L. - ROMANIA,"Cutie cu 1 tub din Al x 20 g crema - 2
ani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
"TERBINAFINA ROMPHARM 10.1
mg/ml",TERBINAFINUM,SPRAY CUTANAT. SOL.,10.1mg/ml,ROMPHARM COMPANY S.R.L. - ROMANIA,"Cutie cu 1 flac. PEID prevazut cu pompa de pulverizare si capac x 20 ml
sol. - 3 ani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TERBINAFINA SCHOLL 1%,TERBINAFINUM,CREMA,10mg/g,SCHOLL CONSUMER PRODUCTS Ltd. - MAREA BRITANIE,"Cutie cu tub din Al prevazut cu membrana de sigilare si capac din PEID X 7.5 g crema - 2 ani-dupa ambalarea pt. comercializare;dupa
prima deschidere-2saptamani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TERBINAFINA SCHOLL 1%,TERBINAFINUM,CREMA,10mg/g,SCHOLL CONSUMER PRODUCTS Ltd. - MAREA BRITANIE,"Cutie cu tub din Al prevazut cu membrana de sigilare si capac din PEID X 15 g crema - 2 ani-dupa ambalarea pt. comercializare;dupa
prima deschidere-2saptamani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TERBINAFINA SLAVIA 10 mg/g,TERBINAFINUM,CREMA,10mg/g,SLAVIA PHARM SRL - ROMANIA,"Cutie x 1 tub din Al x 20 g crema - 3
ani",OTC,D07AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TERBISIL10 mg/g,TERBINAFINUM,CREMA,10mg/g,"GEDEON RICHTER PLC. -
UNGARIA","Cutie cu 1 tub din Al x 15 g crema - 2
ani",OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
TEZOLINE 0.5 mg/ml,XYLOMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,"TEVA PHARMACEUTICALS  S.R.L.
- ROMANIA","Cutie cu 1 flac. din sticla bruna a 10 ml spray nazal. sol. cu pompa cu pulverizator din PP/PE/Stell. cu adaptor pt. nas si capac protector - 3 ani-dupa ambalarea pt. comercializare; dupa prima
deschidere-1 an",OTC,R01AA07,0.1% spray 2-3 sprays per nostril twice daily,Not recommended for children under 6 years,Nasal congestion
TEZOLINE 0.5 mg/ml,XYLOMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,"TEVA PHARMACEUTICALS  S.R.L.
- ROMANIA","Cutie cu 2 flac. din sticla bruna a 10 ml spray nazal. sol. cu pompa cu pulverizator din PP/PE/Stell. cu adaptor pt. nas si capac protector - 3 ani-dupa ambalarea pt. comercializare; dupa prima
deschidere-1 an",OTC,R01AA07,0.1% spray 2-3 sprays per nostril twice daily,Not recommended for children under 6 years,Nasal congestion
